class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.5,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.9444444444444444,1.0,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.5,0.4444444444444444,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3711537444790451,0.5150787536377127,0.6185895741317419,0.6998542122237652,0.7659860924831149,0.8206518066482898,0.8660254037844386,0.9035079029052513,0.9340497736158586,0.9583148474999099,0.9767710236555245,0.989743318610787,0.9974457174120672,1.0,0.9974457174120672,0.989743318610787,0.9767710236555245,0.9583148474999099,0.9340497736158586,0.9035079029052513,0.8660254037844386,0.8206518066482898,0.7659860924831149,0.6998542122237652,0.6185895741317419,0.5150787536377127,0.3711537444790451,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.9090909090909091,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41659779045053086,0.5749595745760689,0.6863485850246136,0.7713892158398701,0.8381404052084444,0.8907235428302466,0.9315409787235999,0.9620913858416693,0.9833321660356334,0.9958591954639384,1.0,0.9958591954639384,0.9833321660356334,0.9620913858416693,0.9315409787235999,0.8907235428302466,0.8381404052084444,0.7713892158398701,0.6863485850246136,0.5749595745760689,0.41659779045053086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150787536377127,0.6998542122237652,0.8206518066482898,0.9035079029052513,0.9583148474999099,0.989743318610787,1.0,0.989743318610787,0.9583148474999099,0.9035079029052513,0.8206518066482898,0.6998542122237652,0.5150787536377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45812284729085123,0.6285393610547089,0.7453559924999299,0.8314794192830981,0.8958064164776166,0.9428090415820634,0.9749960430435691,0.9938079899999065,1.0,0.9938079899999065,0.9749960430435691,0.9428090415820634,0.8958064164776166,0.8314794192830981,0.7453559924999299,0.6285393610547089,0.45812284729085123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.37037037037037035,0.4444444444444444,0.5185185185185185,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.8888888888888888,1.037037037037037,0.9629629629629629,0.8888888888888888,0.8148148148148148,0.7407407407407407,0.6666666666666666,0.5925925925925926,0.5185185185185185,0.4444444444444444,0.37037037037037035,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666,0.75,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,0.8333333333333334,0.75,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.3286710990610898,0.45812284729085123,0.5527707983925667,0.6285393610547089,0.6916610887771518,0.7453559924999299,0.7915448249319449,0.8314794192830981,0.8660254037844386,0.8958064164776166,0.9212846639876111,0.9428090415820634,0.9606453592105879,0.9749960430435691,0.9860132971832694,0.9938079899999065,0.9984555975339683,1.0,0.9984555975339683,0.9938079899999065,0.9860132971832694,0.9749960430435691,0.9606453592105879,0.9428090415820634,0.9212846639876111,0.8958064164776166,0.8660254037844386,0.8314794192830981,0.7915448249319449,0.7453559924999299,0.6916610887771518,0.6285393610547089,0.5527707983925667,0.45812284729085123,0.3286710990610898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25194353793247276,0.4291656353435506,0.5445788069720688,0.6329489313015673,0.7045267634787599,0.7640464053114201,0.8141567396209008,0.8565108417646292,0.8922139797380213,0.9220390921262227,0.9465419839433038,0.9661276859272218,0.9810907306932612,0.9916403967057676,0.9979166644037433,1.0,0.9979166644037433,0.9916403967057676,0.9810907306932612,0.9661276859272218,0.9465419839433038,0.9220390921262227,0.8922139797380213,0.8565108417646292,0.8141567396209008,0.7640464053114201,0.7045267634787599,0.6329489313015673,0.5445788069720688,0.4291656353435506,0.25194353793247276,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.7272727272727273,1.0909090909090908,0.9090909090909091,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916610405434509,0.4938181170261107,0.622513959272885,0.7183787670373177,0.7934038082997678,0.8531050813195037,0.9005354424873034,0.9375590718629488,0.9653740570075877,0.9847610132961848,0.9962121075990956,1.0,0.9962121075990956,0.9847610132961848,0.9653740570075877,0.9375590718629488,0.9005354424873034,0.8531050813195037,0.7934038082997678,0.7183787670373177,0.622513959272885,0.4938181170261107,0.2916610405434509,0,0,0,0,0,0
square,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.6153846153846154,0.7692307692307693,1.0769230769230769,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157895,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.7894736842105263,0.7368421052631579,0.6842105263157895,0.631578947368421,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25194353793247276,0.4291656353435506,0.5445788069720688,0.6329489313015673,0.7045267634787599,0.7640464053114201,0.8141567396209008,0.8565108417646292,0.8922139797380213,0.9220390921262227,0.9465419839433038,0.9661276859272218,0.9810907306932612,0.9916403967057676,0.9979166644037433,1.0,0.9979166644037433,0.9916403967057676,0.9810907306932612,0.9661276859272218,0.9465419839433038,0.9220390921262227,0.8922139797380213,0.8565108417646292,0.8141567396209008,0.7640464053114201,0.7045267634787599,0.6329489313015673,0.5445788069720688,0.4291656353435506,0.25194353793247276,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.6666666666666666,0.8,1.0666666666666667,0.9333333333333333,0.8,0.6666666666666666,0.5333333333333333,0.4,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34798527267687634,0.4841229182759271,0.582961190818051,0.6614378277661477,0.7261843774138906,0.7806247497997998,0.8267972847076845,0.8660254037844386,0.899218410621135,0.9270248108869579,0.9499177595981665,0.9682458365518543,0.982264602843857,0.9921567416492215,0.998044963916957,1.0,0.998044963916957,0.9921567416492215,0.982264602843857,0.9682458365518543,0.9499177595981665,0.9270248108869579,0.899218410621135,0.8660254037844386,0.8267972847076845,0.7806247497997998,0.7261843774138906,0.6614378277661477,0.582961190818051,0.4841229182759271,0.34798527267687634,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.37037037037037035,0.4444444444444444,0.5185185185185185,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.8888888888888888,1.037037037037037,0.9629629629629629,0.8888888888888888,0.8148148148148148,0.7407407407407407,0.6666666666666666,0.5925925925925926,0.5185185185185185,0.4444444444444444,0.37037037037037035,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,0.875,0.75,0.625,0.5,0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.08695652173913043,0.17391304347826086,0.2608695652173913,0.34782608695652173,0.43478260869565216,0.5217391304347826,0.6086956521739131,0.6956521739130435,0.782608695652174,0.8695652173913043,1.0434782608695652,0.9565217391304348,0.8695652173913043,0.782608695652174,0.6956521739130435,0.6086956521739131,0.5217391304347826,0.43478260869565216,0.34782608695652173,0.2608695652173913,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,0.6875,0.75,0.8125,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.5625,0.5,0.4375,0.375,0.3125,0.25,0.1875,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,0.875,0.75,0.625,0.5,0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25194353793247276,0.4291656353435506,0.5445788069720688,0.6329489313015673,0.7045267634787599,0.7640464053114201,0.8141567396209008,0.8565108417646292,0.8922139797380213,0.9220390921262227,0.9465419839433038,0.9661276859272218,0.9810907306932612,0.9916403967057676,0.9979166644037433,1.0,0.9979166644037433,0.9916403967057676,0.9810907306932612,0.9661276859272218,0.9465419839433038,0.9220390921262227,0.8922139797380213,0.8565108417646292,0.8141567396209008,0.7640464053114201,0.7045267634787599,0.6329489313015673,0.5445788069720688,0.4291656353435506,0.25194353793247276,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3711537444790451,0.5150787536377127,0.6185895741317419,0.6998542122237652,0.7659860924831149,0.8206518066482898,0.8660254037844386,0.9035079029052513,0.9340497736158586,0.9583148474999099,0.9767710236555245,0.989743318610787,0.9974457174120672,1.0,0.9974457174120672,0.989743318610787,0.9767710236555245,0.9583148474999099,0.9340497736158586,0.9035079029052513,0.8660254037844386,0.8206518066482898,0.7659860924831149,0.6998542122237652,0.6185895741317419,0.5150787536377127,0.3711537444790451,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.13793103448275862,0.20689655172413793,0.27586206896551724,0.3448275862068966,0.41379310344827586,0.4827586206896552,0.5517241379310345,0.6206896551724138,0.6896551724137931,0.7586206896551724,0.8275862068965517,0.896551724137931,1.0344827586206897,0.9655172413793104,0.896551724137931,0.8275862068965517,0.7586206896551724,0.6896551724137931,0.6206896551724138,0.5517241379310345,0.4827586206896552,0.41379310344827586,0.3448275862068966,0.27586206896551724,0.20689655172413793,0.13793103448275862,0.06896551724137931,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5150787536377127,0.6998542122237652,0.8206518066482898,0.9035079029052513,0.9583148474999099,0.989743318610787,1.0,0.989743318610787,0.9583148474999099,0.9035079029052513,0.8206518066482898,0.6998542122237652,0.5150787536377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.42105263157894735,0.5263157894736842,0.631578947368421,0.7368421052631579,0.8421052631578947,1.0526315789473684,0.9473684210526315,0.8421052631578947,0.7368421052631579,0.631578947368421,0.5263157894736842,0.42105263157894735,0.3157894736842105,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2696336996029822,0.45812284729085123,0.5797213274999454,0.6717910054524835,0.7453559924999299,0.8055023396641313,0.8550663985640886,0.8958064164776166,0.9288841632581076,0.9550960709798242,0.9749960430435691,0.9889651794680511,0.9972527420619451,1.0,0.9972527420619451,0.9889651794680511,0.9749960430435691,0.9550960709798242,0.9288841632581076,0.8958064164776166,0.8550663985640886,0.8055023396641313,0.7453559924999299,0.6717910054524835,0.5797213274999454,0.45812284729085123,0.2696336996029822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
square,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
triangle,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.24,0.32,0.4,0.48,0.56,0.64,0.72,0.8,0.88,1.04,0.96,0.88,0.8,0.72,0.64,0.56,0.48,0.4,0.32,0.24,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
