class,split,feature1,feature2
red,train,0.8696938342951784,0.3008883294889687
red,train,0.634161025044878,0.9529450803651316
red,train,0.44326387401201794,0.7393962754055615
blue,train,0.22743572703045856,0.4026192550303648
red,train,0.9961809687990602,0.9559570937605707
red,train,0.6120779538443142,0.37799569382128684
blue,train,0.18573746841029293,0.0966287152415225
red,train,0.2628600297673732,0.8574237447296968
red,train,0.3931444130463366,0.9038407648969576
red,train,0.9158041998575941,0.7110552756040677
red,train,0.7128908065154608,0.42849712256715977
red,train,0.05604793557940435,0.009134716135210663
blue,train,0.05653265246905603,0.4872534111307636
red,train,0.7755522719583986,0.6853624784006324
red,test,0.9413049424729045,0.6519463628969242
blue,test,0.15596733801713292,0.3773915725987127
red,test,0.8088228651172896,0.8357895293875898
blue,test,0.4799888088760189,0.4167581399074567
red,test,0.16472403578025363,0.7339654074264755
blue,test,0.4803951376707184,0.12242957822242806
red,test,0.6417602807822139,0.07016358743622475
blue,test,0.5292565064539115,0.4973943231027087
red,test,0.9957692399593182,0.269966023896144
blue,test,0.12903841037807584,0.547092660948921
red,test,0.29026847595367355,0.8804667200061519
blue,test,0.4530874648321267,0.3034008129056506
red,test,0.8840208536172072,0.7707944349955251
red,test,0.5510719195298487,0.9898513069092518
red,test,0.9576913908936642,0.26416701729269054
blue,test,0.3268174246824902,0.03754475440284866
red,test,0.16129912063784202,0.9919146661056538
red,test,0.978296216762146,0.998500967413914
red,test,0.8948410638997548,0.8267355486835837
red,test,0.926412796551345,0.9450351420864164
red,test,0.6247238762678431,0.38556022910330556
red,test,0.6371937427008694,0.7421950252373042
red,test,0.8966761249342478,0.9805558704314161
red,test,0.5448342949598477,0.006543020686695544
red,test,0.9650673815844059,0.7807638463350272
red,test,0.9709509923178455,0.3348014838635264
red,test,0.9367199787667827,0.38172220324586326
red,test,0.9986165430636206,0.9839668966164998
red,test,0.6018819341073415,0.9734868033870565
red,test,0.903696199113006,0.6592203217763895
red,test,0.8013547849208994,0.04220525705323608
blue,test,0.23016328875933534,0.23800338224258755
red,test,0.07026591134861915,0.05894281197967366
red,test,0.030135463214272296,0.7968112052769863
blue,test,0.376148771886365,0.2461994118540045
red,test,0.44190442636351757,0.8686379003078122
blue,test,0.4146602781514971,0.21282923480841287
red,test,0.758547611801091,0.31159449823954277
red,test,0.9464812518298135,0.9865603645408446
red,test,0.6033032224996753,0.5433160448515765
blue,test,0.2590733707757825,0.051254906525522115
red,test,0.3663594402451428,0.6882617613673676
blue,test,0.5974215993820632,0.19855078836512552
red,test,0.799323421214178,0.26577428540678716
blue,test,0.03908554704082701,0.27648760516382076
red,test,0.6905645210178311,0.15395016613999524
red,test,0.5494297661309971,0.7191585170008563
red,test,0.6781144589300965,0.8387749584727036
red,test,0.09047320585103091,0.8599334964433556
red,test,0.7805987778912405,0.06678076378459508
